district,period_start,year,replica_id,avg_income_bdt,employment_rate_percent,poverty_rate_percent,agri_share_percent,industry_share_percent,services_share_percent
Chattogram,2012-01-01,2012,1,168898,67.48,20.27,8.43,38.87,52.7
Chattogram,2012-01-01,2012,2,175998,69.36,21.95,8.92,38.61,52.48
Rajshahi,2012-01-01,2012,0,122071,58.13,23.43,27.97,26.29,45.74
Rajshahi,2012-01-01,2012,1,120007,65.22,23.64,27.82,25.27,46.91
Rajshahi,2012-01-01,2012,2,116478,60.49,26.76,27.27,24.99,47.74
Khulna,2012-01-01,2012,0,116446,54.15,26.09,17.97,34.06,47.96
Khulna,2012-01-01,2012,1,120796,55.42,28.08,20.02,34.37,45.61
Khulna,2012-01-01,2012,2,117416,58.34,26.31,19.23,34.07,46.69
Dhaka,2013-01-01,2013,0,210906,64.4,18.58,5.0,35.62,59.38
Dhaka,2013-01-01,2013,1,245109,73.69,14.71,5.0,34.96,60.04
Dhaka,2013-01-01,2013,2,237914,75.83,12.09,5.0,35.69,59.31
Sylhet,2013-01-01,2013,0,136244,68.11,23.11,21.2,26.64,52.16
Sylhet,2013-01-01,2013,1,141479,65.01,21.37,22.08,25.17,52.75
Sylhet,2013-01-01,2013,2,140953,69.64,25.41,20.22,25.49,54.29
Chattogram,2013-01-01,2013,0,190347,70.29,19.99,8.98,38.51,52.51
Chattogram,2013-01-01,2013,1,194409,71.07,21.14,8.64,38.24,53.12
Chattogram,2013-01-01,2013,2,169856,70.15,19.02,8.54,38.2,53.26
Rajshahi,2013-01-01,2013,0,120696,57.29,26.19,26.07,26.57,47.36
Rajshahi,2013-01-01,2013,1,123292,59.46,23.96,27.02,26.17,46.81
Rajshahi,2013-01-01,2013,2,116034,64.83,21.38,25.8,25.92,48.27
Khulna,2013-01-01,2013,0,117067,62.95,25.21,18.11,34.06,47.83
Khulna,2013-01-01,2013,1,131315,62.92,22.12,17.38,33.48,49.14
Khulna,2013-01-01,2013,2,126002,59.86,24.08,17.4,34.21,48.39
Dhaka,2014-01-01,2014,0,237173,76.94,17.02,5.0,35.74,59.26
Dhaka,2014-01-01,2014,1,226232,74.91,16.8,5.0,36.21,58.79
Dhaka,2014-01-01,2014,2,249189,72.28,16.55,5.0,36.63,58.37
Sylhet,2014-01-01,2014,0,136196,65.92,22.02,19.32,24.74,55.94
Sylhet,2014-01-01,2014,1,140252,65.78,23.58,19.6,26.51,53.9
Sylhet,2014-01-01,2014,2,147295,67.25,24.96,19.81,26.47,53.72
Chattogram,2014-01-01,2014,0,181209,69.2,19.43,8.08,37.9,54.02
Chattogram,2014-01-01,2014,1,182252,68.88,22.0,5.87,40.23,53.9
Chattogram,2014-01-01,2014,2,204656,70.51,17.43,6.34,39.89,53.77
Rajshahi,2014-01-01,2014,0,120095,61.34,23.04,24.96,25.23,49.81
Rajshahi,2014-01-01,2014,1,126077,59.65,24.9,25.35,25.64,49.01
Rajshahi,2014-01-01,2014,2,131143,65.87,23.59,25.31,26.08,48.61
Khulna,2014-01-01,2014,0,135043,56.99,24.18,17.66,33.65,48.69
Khulna,2014-01-01,2014,1,134228,67.35,23.83,17.28,34.38,48.34
Khulna,2014-01-01,2014,2,124277,61.67,24.37,16.07,34.62,49.31
Dhaka,2015-01-01,2015,0,256122,69.55,17.39,5.0,36.81,58.19
Dhaka,2015-01-01,2015,1,269883,68.48,13.38,5.0,35.81,59.19
Dhaka,2015-01-01,2015,2,243931,76.71,16.2,5.0,35.92,59.08
Sylhet,2015-01-01,2015,0,150333,66.31,19.88,19.09,26.69,54.22
Sylhet,2015-01-01,2015,1,137682,55.03,25.03,17.11,26.22,56.67
Sylhet,2015-01-01,2015,2,148323,65.22,22.68,19.18,26.17,54.64
Chattogram,2015-01-01,2015,0,185504,68.45,16.93,6.0,39.27,54.73
Chattogram,2015-01-01,2015,1,199843,71.85,20.42,5.0,38.8,56.2
Chattogram,2015-01-01,2015,2,201842,67.78,21.82,5.18,39.49,55.33
Rajshahi,2015-01-01,2015,0,133388,62.87,23.05,23.29,25.56,51.15
Rajshahi,2015-01-01,2015,1,132963,58.4,25.32,23.0,27.48,49.52
Rajshahi,2015-01-01,2015,2,133223,66.64,26.07,23.13,26.42,50.45
Khulna,2015-01-01,2015,0,145923,62.49,21.25,14.85,34.11,51.04
Khulna,2015-01-01,2015,1,126114,61.16,24.75,15.7,34.77,49.54
Khulna,2015-01-01,2015,2,134628,62.87,25.25,14.98,34.26,50.77
Dhaka,2016-01-01,2016,0,254714,71.14,15.96,5.0,36.92,58.08
Dhaka,2016-01-01,2016,1,286873,77.23,13.96,5.0,36.33,58.67
Dhaka,2016-01-01,2016,2,273509,78.42,13.28,5.0,37.65,57.35
Sylhet,2016-01-01,2016,0,152842,65.62,24.79,16.91,26.74,56.35
Sylhet,2016-01-01,2016,1,146914,55.18,23.67,17.08,27.85,55.07
Sylhet,2016-01-01,2016,2,138741,63.72,21.81,17.71,26.64,55.65
Chattogram,2016-01-01,2016,0,200122,70.11,16.26,5.0,39.62,55.38
Chattogram,2016-01-01,2016,1,208378,72.08,21.54,5.0,40.33,54.67
Chattogram,2016-01-01,2016,2,199316,70.23,21.26,5.0,39.92,55.08
Rajshahi,2016-01-01,2016,0,129330,63.82,21.66,22.48,25.92,51.6
Rajshahi,2016-01-01,2016,1,124445,64.45,26.39,22.45,26.06,51.49
Rajshahi,2016-01-01,2016,2,125023,61.74,27.06,21.41,26.8,51.78
Khulna,2016-01-01,2016,0,145084,64.57,18.75,14.9,34.19,50.9
Khulna,2016-01-01,2016,1,132850,53.75,24.93,13.67,34.08,52.26
Khulna,2016-01-01,2016,2,159909,65.07,23.67,14.42,33.96,51.62
Dhaka,2017-01-01,2017,0,277683,76.57,12.56,5.0,37.3,57.7
Dhaka,2017-01-01,2017,1,288261,72.98,7.84,5.0,37.1,57.9
Dhaka,2017-01-01,2017,2,261785,74.05,13.53,5.0,37.13,57.87
Sylhet,2017-01-01,2017,0,163569,65.1,23.43,15.57,28.2,56.23
Sylhet,2017-01-01,2017,1,155020,64.76,25.24,15.77,27.77,56.46
Sylhet,2017-01-01,2017,2,151465,64.59,21.19,16.07,27.02,56.91
Chattogram,2017-01-01,2017,0,218658,74.26,19.35,5.0,41.33,53.67
Chattogram,2017-01-01,2017,1,224138,74.27,13.25,5.0,40.08,54.92
Chattogram,2017-01-01,2017,2,232444,71.28,14.79,5.0,40.44,54.56
Rajshahi,2017-01-01,2017,0,145133,66.11,19.03,21.41,26.81,51.78
Rajshahi,2017-01-01,2017,1,119138,69.56,26.53,22.12,27.24,50.65
Rajshahi,2017-01-01,2017,2,143106,67.16,23.81,20.48,27.04,52.48
Khulna,2017-01-01,2017,0,140333,59.98,23.62,13.08,35.81,51.11
Khulna,2017-01-01,2017,1,146393,63.07,29.44,13.01,33.92,53.07
Khulna,2017-01-01,2017,2,140907,61.05,21.05,13.58,34.33,52.09
Dhaka,2018-01-01,2018,0,310174,85.14,8.48,5.0,37.68,57.32
Dhaka,2018-01-01,2018,1,284089,83.24,12.73,5.0,37.11,57.89
Dhaka,2018-01-01,2018,2,287078,78.34,9.91,5.0,36.88,58.12
Sylhet,2018-01-01,2018,0,163318,68.14,21.15,14.61,27.16,58.23
Sylhet,2018-01-01,2018,1,163109,69.1,20.96,14.17,28.06,57.77
Sylhet,2018-01-01,2018,2,153922,69.37,24.34,14.87,26.57,58.56
Chattogram,2018-01-01,2018,0,239626,72.84,18.53,5.0,40.57,54.43
Chattogram,2018-01-01,2018,1,234219,77.66,17.16,5.0,40.31,54.69
Chattogram,2018-01-01,2018,2,212854,70.86,20.16,5.0,41.65,53.35
Rajshahi,2018-01-01,2018,0,138271,65.46,23.94,18.32,27.94,53.75
Rajshahi,2018-01-01,2018,1,145680,63.95,23.51,20.13,28.37,51.5
Rajshahi,2018-01-01,2018,2,136289,59.63,23.33,20.27,27.15,52.58
Khulna,2018-01-01,2018,0,156201,68.53,23.16,12.54,35.49,51.97
Khulna,2018-01-01,2018,1,149879,66.5,22.37,11.95,35.62,52.43
Khulna,2018-01-01,2018,2,145340,63.83,21.49,12.51,34.46,53.03
Dhaka,2019-01-01,2019,0,333982,83.16,6.26,5.0,38.19,56.81
Dhaka,2019-01-01,2019,1,331650,83.51,9.25,5.0,37.67,57.33
Dhaka,2019-01-01,2019,2,314714,81.03,10.95,5.0,36.96,58.04
Sylhet,2019-01-01,2019,0,165123,73.69,17.59,13.61,27.32,59.07
Sylhet,2019-01-01,2019,1,158172,65.67,23.77,12.24,27.5,60.26
Sylhet,2019-01-01,2019,2,160082,64.65,18.6,12.38,28.5,59.12
Chattogram,2019-01-01,2019,0,250240,76.49,13.51,5.0,41.27,53.73
Chattogram,2019-01-01,2019,1,237880,73.07,16.12,5.0,39.24,55.76
Chattogram,2019-01-01,2019,2,239622,75.16,15.71,5.0,41.45,53.55
Rajshahi,2019-01-01,2019,0,162682,62.56,19.92,18.2,28.56,53.24
Rajshahi,2019-01-01,2019,1,137026,67.47,25.5,19.62,27.44,52.94
Rajshahi,2019-01-01,2019,2,162010,64.14,25.29,17.04,28.26,54.7
Khulna,2019-01-01,2019,0,154052,62.97,24.33,10.35,34.25,55.41
Khulna,2019-01-01,2019,1,164091,65.85,23.33,10.04,35.83,54.13
Khulna,2019-01-01,2019,2,145924,61.23,24.74,10.0,35.74,54.25
Dhaka,2020-01-01,2020,0,320808,85.22,8.66,5.0,38.95,56.05
Dhaka,2020-01-01,2020,1,326290,87.45,8.86,5.0,37.37,57.63
Dhaka,2020-01-01,2020,2,335707,78.9,8.55,5.0,37.67,57.33
Sylhet,2020-01-01,2020,0,172102,71.64,19.24,11.22,28.25,60.53
Sylhet,2020-01-01,2020,1,177366,74.71,20.78,11.43,28.07,60.5
Sylhet,2020-01-01,2020,2,153862,63.27,19.91,11.57,27.54,60.89
Chattogram,2020-01-01,2020,0,259522,72.59,12.7,5.0,41.29,53.71
Chattogram,2020-01-01,2020,1,251560,75.39,15.68,5.0,40.41,54.59
Chattogram,2020-01-01,2020,2,235136,73.76,15.23,5.0,40.41,54.59
Rajshahi,2020-01-01,2020,0,149715,66.53,26.37,17.87,27.06,55.07
Rajshahi,2020-01-01,2020,1,140322,62.72,23.26,16.46,28.57,54.97
Rajshahi,2020-01-01,2020,2,148664,64.82,23.41,17.48,28.03,54.49
Khulna,2020-01-01,2020,0,163812,67.74,18.73,9.49,36.02,54.5
Khulna,2020-01-01,2020,1,155097,63.53,21.44,8.58,36.45,54.97
Khulna,2020-01-01,2020,2,167952,67.17,21.32,9.2,36.36,54.44
Dhaka,2021-01-01,2021,0,380992,85.54,5.56,5.0,38.07,56.93
Dhaka,2021-01-01,2021,1,344417,93.2,7.08,5.0,39.54,55.46
Dhaka,2021-01-01,2021,2,340495,84.1,9.35,5.0,37.73,57.27
Sylhet,2021-01-01,2021,0,168485,63.46,22.14,10.15,28.66,61.2
Sylhet,2021-01-01,2021,1,180011,73.41,18.0,10.92,28.76,60.32
Sylhet,2021-01-01,2021,2,177112,66.37,20.43,9.17,29.24,61.59
Chattogram,2021-01-01,2021,0,254867,76.13,12.77,5.0,40.31,54.69
Chattogram,2021-01-01,2021,1,266875,74.91,9.96,5.0,42.07,52.93
Chattogram,2021-01-01,2021,2,248667,77.64,14.45,5.0,41.33,53.67
Rajshahi,2021-01-01,2021,0,174074,69.89,23.39,15.95,27.83,56.21
Rajshahi,2021-01-01,2021,1,156383,62.4,22.14,15.93,28.28,55.79
Rajshahi,2021-01-01,2021,2,157813,64.26,21.35,15.67,29.66,54.67
Khulna,2021-01-01,2021,0,164253,63.64,27.73,8.12,36.35,55.53
Khulna,2021-01-01,2021,1,171106,69.98,24.93,7.54,35.65,56.82
Khulna,2021-01-01,2021,2,168678,73.07,18.71,8.2,35.72,56.07
Dhaka,2022-01-01,2022,0,357340,83.21,7.91,5.0,38.83,56.17
Dhaka,2022-01-01,2022,1,348399,80.16,8.77,5.0,38.12,56.88
Dhaka,2022-01-01,2022,2,350789,80.63,5.3,5.0,39.07,55.93
Sylhet,2022-01-01,2022,0,166577,72.73,24.18,9.76,28.88,61.36
Sylhet,2022-01-01,2022,1,192127,66.76,21.81,10.08,27.82,62.1
Sylhet,2022-01-01,2022,2,193031,77.07,17.16,9.93,27.99,62.08
Chattogram,2022-01-01,2022,0,251391,71.35,13.34,5.0,41.05,53.95
Chattogram,2022-01-01,2022,1,285273,80.33,15.42,5.0,40.41,54.59
Chattogram,2022-01-01,2022,2,263131,79.04,17.1,5.0,41.01,53.99
Rajshahi,2022-01-01,2022,0,171144,66.61,21.47,14.4,28.72,56.88
Rajshahi,2022-01-01,2022,1,158853,64.95,24.01,15.08,28.05,56.86
Rajshahi,2022-01-01,2022,2,159492,63.39,20.72,15.42,28.44,56.14
Khulna,2022-01-01,2022,0,164854,67.05,20.5,6.33,35.98,57.69
Khulna,2022-01-01,2022,1,170105,68.63,21.84,6.58,37.53,55.89
Khulna,2022-01-01,2022,2,173473,67.32,20.09,5.04,37.28,57.68
Dhaka,2023-01-01,2023,0,366971,85.93,6.15,5.0,38.21,56.79
Dhaka,2023-01-01,2023,1,367465,84.34,5.0,5.0,37.95,57.05
Dhaka,2023-01-01,2023,2,345038,82.82,6.74,5.0,38.8,56.2
Sylhet,2023-01-01,2023,0,168918,66.99,22.71,8.9,28.62,62.48
Sylhet,2023-01-01,2023,1,182611,70.95,17.13,8.09,28.18,63.73
Sylhet,2023-01-01,2023,2,187241,69.07,20.14,7.06,29.42,63.52
Chattogram,2023-01-01,2023,0,302879,79.38,9.79,5.0,41.03,53.97
Chattogram,2023-01-01,2023,1,268010,76.6,14.42,5.0,43.52,51.48
Chattogram,2023-01-01,2023,2,292182,77.55,10.45,5.0,41.17,53.83
Rajshahi,2023-01-01,2023,0,172641,67.33,23.89,11.87,29.09,59.04
Rajshahi,2023-01-01,2023,1,159871,66.47,22.42,13.79,27.87,58.35
Rajshahi,2023-01-01,2023,2,167649,68.96,17.8,12.91,28.22,58.87
Khulna,2023-01-01,2023,0,182354,68.51,18.71,6.04,35.78,58.18
Khulna,2023-01-01,2023,1,175786,70.93,19.88,5.83,36.45,57.73
Khulna,2023-01-01,2023,2,171309,69.06,20.53,5.0,37.72,57.28
Dhaka,2024-01-01,2024,0,396658,86.09,5.12,5.0,38.94,56.06
Dhaka,2024-01-01,2024,1,415071,91.45,5.0,5.0,39.77,55.23
Dhaka,2024-01-01,2024,2,398106,88.78,5.0,5.0,39.04,55.96
Sylhet,2024-01-01,2024,0,197563,69.58,17.99,6.48,29.03,64.49
Sylhet,2024-01-01,2024,1,201582,69.49,16.17,5.62,29.19,65.18
Sylhet,2024-01-01,2024,2,189952,69.33,23.21,7.86,29.75,62.4
Chattogram,2024-01-01,2024,0,286997,77.87,9.97,5.0,42.05,52.95
Chattogram,2024-01-01,2024,1,312463,79.0,6.07,5.0,42.26,52.74
Chattogram,2024-01-01,2024,2,291471,79.52,14.71,5.0,42.03,52.97
Rajshahi,2024-01-01,2024,0,169514,71.86,21.07,12.62,28.68,58.7
Rajshahi,2024-01-01,2024,1,187719,70.12,20.15,12.56,27.64,59.8
Rajshahi,2024-01-01,2024,2,172112,68.5,19.81,12.6,28.84,58.55
Khulna,2024-01-01,2024,0,180170,74.26,21.45,5.0,37.82,57.18
Khulna,2024-01-01,2024,1,163498,71.15,23.33,5.0,37.5,57.5
Khulna,2024-01-01,2024,2,179207,70.45,18.56,5.0,38.1,56.9
Dhaka,2025-01-01,2025,0,418604,94.05,5.0,5.0,40.46,54.54
Dhaka,2025-01-01,2025,1,426276,94.51,5.0,5.0,39.95,55.05
Dhaka,2025-01-01,2025,2,431449,91.3,5.0,5.0,40.28,54.72
Sylhet,2025-01-01,2025,0,199240,69.59,21.64,5.64,30.41,63.95
Sylhet,2025-01-01,2025,1,199429,77.45,16.93,6.3,28.68,65.02
Sylhet,2025-01-01,2025,2,218022,76.81,20.01,5.0,29.75,65.25
Chattogram,2025-01-01,2025,0,341165,85.52,6.72,5.0,41.36,53.64
Chattogram,2025-01-01,2025,1,306973,82.61,10.32,5.0,42.8,52.2
Chattogram,2025-01-01,2025,2,309193,83.24,8.17,5.0,41.97,53.03
Rajshahi,2025-01-01,2025,0,176714,69.74,23.04,9.69,29.69,60.62
Rajshahi,2025-01-01,2025,1,176412,66.04,20.2,9.18,29.52,61.3
Rajshahi,2025-01-01,2025,2,170542,67.63,18.66,11.06,30.31,58.64
Khulna,2025-01-01,2025,0,205496,71.72,20.9,5.0,38.3,56.7
Khulna,2025-01-01,2025,1,201154,74.74,17.8,5.0,37.1,57.9
Khulna,2025-01-01,2025,2,200572,64.83,19.77,5.0,37.52,57.48
